Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00       12     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.07     0.00       11     0.00     0.00  Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getComm() const
  0.00      0.07     0.00       10     0.00     0.00  void Teuchos::(anonymous namespace)::waitAllImpl<int>(Teuchos::ArrayView<Teuchos::RCP<Teuchos::CommRequest<int> > > const&)
  0.00      0.07     0.00       10     0.00     0.00  Teuchos::PerformanceMonitorBase<Teuchos::Time>::getNewCounter(std::string const&)
  0.00      0.07     0.00        9     0.00     0.00  Belos::MultiVecTraits<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::Clone(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, int)
  0.00      0.07     0.00        9     0.00     0.00  int& Teuchos::ParameterList::get<int>(std::string const&)
  0.00      0.07     0.00        9     0.00     0.00  Teuchos::ParameterList& Teuchos::ParameterList::set<int>(std::string const&, int const&, std::string const&, Teuchos::RCP<Teuchos::ParameterEntryValidator const> const&)
  0.00      0.07     0.00        9     0.00     0.00  Belos::BiCGStabIter<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::getProblem() const
  0.00      0.07     0.00        9     0.00     0.00  void Teuchos::ParameterList::validateEntryType<std::string>(std::string const&, std::string const&, Teuchos::ParameterEntry const&) const
  0.00      0.07     0.00        8     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::Time, Teuchos::DeallocDelete<Teuchos::Time> >::delete_obj()
  0.00      0.07     0.00        8     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::Time, Teuchos::DeallocDelete<Teuchos::Time> >::~RCPNodeTmpl()
  0.00      0.07     0.00        8     0.00     0.00  Teuchos::any::holder<int>::typeName() const
  0.00      0.07     0.00        8     0.00     0.00  Teuchos::MpiComm<int>::waitAll(Teuchos::ArrayView<Teuchos::RCP<Teuchos::CommRequest<int> > > const&) const
  0.00      0.07     0.00        8     0.00     0.00  void std::vector<std::string, std::allocator<std::string> >::_M_emplace_back_aux<std::string const&>(std::string const&)
  0.00      0.07     0.00        8     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector()
  0.00      0.07     0.00        7     0.00     0.00  Teuchos::RCP<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::operator=(Teuchos::RCP<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> > const&)
