Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::MpiCommStatus<int>, Teuchos::DeallocDelete<Teuchos::MpiCommStatus<int> > >::~RCPNodeTmpl() (Teuchos_RCPNode.hpp:519 @ 4d2930)
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<std::ostream, Teuchos::DeallocDelete<std::ostream> >::delete_obj() (Teuchos_RCPNode.hpp:537 @ 48ac40)
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<std::ostream, Teuchos::DeallocDelete<std::ostream> >::~RCPNodeTmpl() (Teuchos_RCPNode.hpp:519 @ 4cf940)
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<unsigned long, Teuchos::DeallocArrayDelete<unsigned long> >::delete_obj() (Teuchos_RCPNode.hpp:537 @ 48b060)
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<unsigned long, Teuchos::DeallocArrayDelete<unsigned long> >::~RCPNodeTmpl() (Teuchos_RCPNode.hpp:519 @ 4cfbb0)
  0.00      0.07     0.00        6     0.00     0.00  Belos::LinearProblem<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::applyRightPrec(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>&) const (BelosLinearProblem.hpp:1095 @ 5390d0)
  0.00      0.07     0.00        6     0.00     0.00  Xpetra::CrsMatrixWrap<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getGlobalNumEntries() const (Xpetra_CrsMatrixWrap.hpp:321 @ 486c70)
  0.00      0.07     0.00        6     0.00     0.00  Xpetra::TpetraCrsMatrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getGlobalNumEntries() const (Xpetra_TpetraCrsMatrix.hpp:352 @ 487340)
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::any::holder<bool>::print(std::ostream&) const (Teuchos_any.hpp:222 @ 48a4d0)
  0.00      0.07     0.00        6     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::RCP<Teuchos::Time> >, std::_Select1st<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > > >::_M_get_insert_unique_pos(std::string const&) (stl_tree.h:1435 @ 4e27b0)
  0.00      0.07     0.00        5     0.00     0.00  Belos::MultiVecTraits<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::MvNorm(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, std::vector<double, std::allocator<double> >&, Belos::NormType) (BelosTpetraAdapter.hpp:535 @ 51aee0)
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::basic_FancyOStream<char, std::char_traits<char> >, Teuchos::DeallocDelete<Teuchos::basic_FancyOStream<char, std::char_traits<char> > > >::delete_obj() (Teuchos_RCPNode.hpp:537 @ 48aca0)
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::basic_FancyOStream<char, std::char_traits<char> >, Teuchos::DeallocDelete<Teuchos::basic_FancyOStream<char, std::char_traits<char> > > >::~RCPNodeTmpl() (Teuchos_RCPNode.hpp:519 @ 4d1000)
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::ParameterList& Teuchos::ParameterList::set<double>(std::string const&, double const&, std::string const&, Teuchos::RCP<Teuchos::ParameterEntryValidator const> const&) (Teuchos_ParameterList.hpp:830 @ 4db150)
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::basic_FancyOStream<char, std::char_traits<char> >::~basic_FancyOStream() (Teuchos_FancyOStream.hpp:371 @ 49c960)
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::basic_FancyOStream_buf<char, std::char_traits<char> >::initialize(Teuchos::RCP<std::ostream> const&, std::string const&, int, bool, int, bool, bool) (Teuchos_FancyOStream.hpp:881 @ 4d6370)
  0.00      0.07     0.00        5     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) (stl_vector.h:277 @ 4c9d40)
  0.00      0.07     0.00        5     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) (vector.tcc:167 @ 4d3c60)
  0.00      0.07     0.00        5     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::RCP<MueLu::FactoryBase const> >, std::_Select1st<std::pair<std::string const, Teuchos::RCP<MueLu::FactoryBase const> > >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::RCP<MueLu::FactoryBase const> > > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, Teuchos::RCP<MueLu::FactoryBase const> > >*) (stl_tree.h:1239 @ 4f13f0)
